"hgnc_symbol","BF_dn_del","BF_dn_dup","BF_cc_del","BF_cc_dup","BF_in_del","BF_in_dup"
"CFH",1,1,1,1,1,1
"SEMA3F",1,1,1,1,1,1
"CFTR",4.56080307262687,1,1,1,0,1
"CYP51A1",1,1,1,1,1,0.913137915752897
"HS3ST1",1,1,1,1,1,1
"MAD1L1",1,1,1.75354655341764,0.259840115777408,0.435627145611614,1
"TMEM176A",1,1,1,1,2.08865124888504,1
"TFPI",1,1,1,1,1,1
"AK2",1,5.58782120395738,1,1,1,1
"RECQL",1.17869691706857,1,1,1,1,1
"ZMYND10",1,1,1,1,1,1
"ABCB5",1,1,1,1,1,1
"DVL2",1,3.68421045132677,1,1,1,0.733000911557313
"THSD7A",1,1,1,1,1,1
"LIG3",1,1,1,0.694353965756291,1,1
"CREBBP",1,1,1,1,1,1
"CRLF1",1,1,1,1,1,0.361917701134057
"TMEM98",1,1,1,0.390798131792784,1,1
"ABCC8",1,1,1,1,1,0.932873909141663
"USH1C",1,1,1,1,1,0.733176262714688
"IFRD1",1,1,1,1,1,1.00664276752538
"COX10",2.53089810863831,1.58322981124873,0.977676479889842,1,0.604636009008376,0.384472345008813
"GTF2IRD1",1,1,1,1,1,1
"ARHGAP44",1,1,1,1,1,1
"ELAC2",1,1,1,1,1,0.0229761351388393
"DNAH9",1,1,1,1,1,3.4525830604399
"CD79B",1,1,1,1,1,1
"SCN4A",1,1,1,1,1,1
"CACNA2D2",1,1,1,1,1,1
"PIGQ",1,1,0.287128847600776,1.89799068611971,1,1
"FMO3",38.3784888306449,1,1,1,1,1
"PSMB1",1,1,1,1,1,1
"JARID2",1,1,1,1,1,1
"ADAM22",1,1,1,1,1,1
"AASS",1,1,1,1,1.84589376263528,1
"PKD1",1,1,1,1,1,1
"RHOBTB2",1,1,1,1,1,1
"CSDE1",1,1,1,1,1,1
"PAX7",1,1,1,1,1,1
"MLXIPL",1,1,1,1,1,1
"BAZ1B",1,1,1,1,1,1
"HFE",1,1,1,1,1,0
"FYN",1,1,1,1,1,1
"RNF216",1,1,1,1,1,1
"TTC19",1,1.75426585174992,1,1,1,1
"PIK3C2A",1,1,1,1,1,1
"BRCA1",1,1,1,1,1,0.120606351236536
"NR1H4",1,1,1,1,1,1.34558505553543
"MAN2B2",1.8078568620981,2.08588681582335,1,1,0.0379032421317175,1
"SLC7A14",1,1,1,1,1,1
"CLDN11",1,1,1,1,1,1
"NUB1",1,1,1,1,1,1
"PGM3",1.37412785706424,1,1,1,1,1
"ZC3H3",1,1,1,1,1,1
"ZMYND11",1,1,1,1,1,1
"IL20RA",1,1,1,1,1,1
"CLCA4",1,1,1,1,1.26459487973935e-10,0.0300104400961784
"CNTN1",1,1,1,1,1,1
"PHLDB1",1,1,1,1,1,1
"CYP24A1",1,1,1,1,1,5.92377961987063
"ZRANB1",1,1,1,1,1,1
"NCDN",1,1,1,1,1,1
"SAMD4A",1,1,1,1,1,1
"SLC7A9",1,1,1,1,1,1
"SPAST",1,1,1,1,1,1
"NRXN3",1,1,1,1,1,1
"CPS1",1,1,1,1,1,1
"RB1CC1",1,1,1,1,1,1
"ABCC2",1,1,1,1,1,2.1354063932321e-12
"TYMP",275306001328095,1,1,1,0.274410129298925,0.229731376260551
"NCAPH2",1,1,1,1,1,1
"VIM",1,1,1,1,1,1
"FAS",1,1,1,1,1,1
"PRKCH",1,1,1,1,1,1
"IFNGR1",1,1,0.0844848598407538,1,0.313148448500198,1
"BRD9",1,1,1,1,1,1
"ANK1",1,1,1,1,1,1
