"hgnc_symbol","BF_dn_del","BF_dn_dup","BF_cc_del","BF_cc_dup","BF_in_del","BF_in_dup","BF_in_ptv","BF_in_misb","BF_in_misa","BF_cc_ptv","BF_cc_misb","BF_cc_misa","BF_dn_ptv","BF_dn_misb","BF_dn_misa","ensembl_gene_id.x","qval_asd","pval_asd","ensembl_gene_id.y"
"A2ML1",1,1,1,1,1,1,0.595646744331846,1,1,1.27738743838007,1,1,1,1,1,"ENSG00000166535",0.768930141901956,0.340626451800786,"ENSG00000166535"
"A3GALT2",1,1,1,1,1,1,1,0.0850253996421888,0.90350853184824,1,1,1,1,1,1,"ENSG00000184389",0.769008155627979,0.340807847549947,"ENSG00000184389"
"A4GALT",1,1,1,1,1,0,1,1,0.802208966387643,1,1,1.07975790683182,1,1,1,"ENSG00000128274",0.769086102158716,0.340989243299108,"ENSG00000128274"
"AAAS",1,1,1,1,1,1,0.75802312555282,1,1,1.11735298486778,1,1,3.85657676110034,1,1,"ENSG00000094914",0.482653292508985,0.0751097613656183,"ENSG00000094914"
"AARS1",1,1,1,1,1,1,0.626987853237844,1,1,2.91807784861006,1,1,1,1,1,"ENSG00000090861",0.626290729415897,0.151156406035031,"ENSG00000090861"
"AARS2",1,1,1,1,0.384744741357177,1,0.628347069179528,1,0.648316500329666,0.943609027504967,1,0.969910671252448,1,1,1,"ENSG00000124608",0.769163981580946,0.341170639048268,"ENSG00000124608"
"AASS",1,1,1,1,1.84589376263528,1,0.6362862295417,1,1,1.07804108176005,1,1,1,1,1,"ENSG00000008311",0.62378303743076,0.149240993694518,"ENSG00000008311"
"ABCA1",1,1,1,1,1,1,0.0366361460519055,0.117293503902992,0.334259322681135,0.747013052507665,3.08655634440067,1.18201812352423,1,1,1,"ENSG00000165029",0.769241793981299,0.341352034797429,"ENSG00000165029"
"ABCA12",1,1,1,1,1,1,0.017306609510079,1,1,0.907802615042866,1,1,1,1,1,"ENSG00000144452",0.769319539446253,0.34153343054659,"ENSG00000144452"
"ABCA3",1,1,1,1,1,1,0.242516366996924,1,0.543302936479465,1.17021787730439,1,1,1,1,1,"ENSG00000167972",0.76939721806214,0.341714826295751,"ENSG00000167972"
"ABCA4",1,1,1,1,1,1,0.63738121905631,1,1,1.85200265691887,1,1,1,1,1,"ENSG00000198691",0.704543366043653,0.22923494376452,"ENSG00000198691"
"ABCA7",1,1,1,1,0.0462079788667287,0.280619175333233,0.80549267967942,1,1,0.952073589850334,1,1,1,1,1,"ENSG00000064687",0.769474829915143,0.341896222044911,"ENSG00000064687"
"ABCB11",1,1,1,1,1,0.756265289646259,0.61353173754295,1,1,0.980496253570856,1,1,1,1,1,"ENSG00000073734",0.769552375091296,0.342077617794072,"ENSG00000073734"
"ABCB4",1,1,1,1,1,1,0.238069719101586,1,0.684510886977348,1,1,1.20510101152376,1,1,1,"ENSG00000005471",0.769629853676487,0.342259013543233,"ENSG00000005471"
"ABCB5",1,1,1,1,1,1,0.999999999999997,1,1,0.977599720033412,1,1,1.03556751472831,1,1,"ENSG00000004846",0.759586216063379,0.319952924039189,"ENSG00000004846"
"ABCB6",1,1,1,1,1,1,0.513052944984133,1,0.632002273394155,1.40679080967059,1,1,1,1,1,"ENSG00000115657",0.769707265756454,0.342440409292393,"ENSG00000115657"
"ABCC1",1,1,1,1,1,1,0.145870133596512,1,0.332784822899554,0.553370361105637,1,1.20486608657481,1,1,1,"ENSG00000103222",0.76978461141679,0.342621805041554,"ENSG00000103222"
"ABCC10",1,1,1,1,1,1,0.782494887810819,1,1,1.05568441647711,1,1,1,1,1,"ENSG00000124574",0.769861890742941,0.342803200790715,"ENSG00000124574"
"ABCC11",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"ENSG00000121270",0.769939103820205,0.342984596539876,"ENSG00000121270"
"ABCC2",1,1,1,1,1,2.1354063932321e-12,1,1,1,1.01226455503876,1,1,1,1,1,"ENSG00000023839",0.759844020096323,0.320496776708315,"ENSG00000023839"
