"hgnc_symbol","BF_in_ptv","BF_in_misb","BF_in_misa","BF_cc_ptv","BF_cc_misb","BF_cc_misa","BF_dn_ptv","BF_dn_misb","BF_dn_misa"
"A2ML1",0.595646744331846,1,1,1.27738743838007,1,1,1,1,1
"A3GALT2",1,0.0850253996421888,0.90350853184824,1,1,1,1,1,1
"A4GALT",1,1,0.802208966387643,1,1,1.07975790683182,1,1,1
"AAAS",0.75802312555282,1,1,1.11735298486778,1,1,3.85657676110034,1,1
"AARS1",0.626987853237844,1,1,2.91807784861006,1,1,1,1,1
"AARS2",0.628347069179528,1,0.648316500329666,0.943609027504967,1,0.969910671252448,1,1,1
"AASS",0.6362862295417,1,1,1.07804108176005,1,1,1,1,1
"ABCA1",0.0366361460519055,0.117293503902992,0.334259322681135,0.747013052507665,3.08655634440067,1.18201812352423,1,1,1
"ABCA12",0.017306609510079,1,1,0.907802615042866,1,1,1,1,1
"ABCA3",0.242516366996924,1,0.543302936479465,1.17021787730439,1,1,1,1,1
"ABCA4",0.63738121905631,1,1,1.85200265691887,1,1,1,1,1
"ABCA7",0.80549267967942,1,1,0.952073589850334,1,1,1,1,1
"ABCB11",0.61353173754295,1,1,0.980496253570856,1,1,1,1,1
"ABCB4",0.238069719101586,1,0.684510886977348,1,1,1.20510101152376,1,1,1
"ABCB5",0.999999999999997,1,1,0.977599720033412,1,1,1.03556751472831,1,1
"ABCB6",0.513052944984133,1,0.632002273394155,1.40679080967059,1,1,1,1,1
"ABCC1",0.145870133596512,1,0.332784822899554,0.553370361105637,1,1.20486608657481,1,1,1
"ABCC10",0.782494887810819,1,1,1.05568441647711,1,1,1,1,1
"ABCC11",1,1,1,1,1,1,1,1,1
"ABCC2",1,1,1,1.01226455503876,1,1,1,1,1
"ABCC6",0.761978051585488,0.438354496770473,0.566452846860758,1.06691619083601,1,1.1123964334321,1,1,1
"ABCC8",0.382795278915711,0.319596534031779,0.348423427833397,0.478494038338304,1.09440818657532,1.05414527171925,1,1,1
"ABCC9",0.356407044477334,1.48091376334949,0.704931347907662,1.08330024984225,0.915792369331097,0.982203425794067,1,1,1
"ABCD2",1.01171976341994,1,0.711534876833079,0.799449340026197,1,1.03577671002476,1,1,1
"ABCD3",0.881906823435691,1,0.621471631104681,0.990746250640879,1,1.02090317024767,1,1,1
"ABCD4",1.16092527657273,1,0.838785050548987,1.52810791664766,1,1.08496747803034,1,1,1
"ABCF1",0.384398239100627,0.378840097104616,0.452596268029729,0.650755943759053,0.831677947202591,0.96098760900323,1,1,2.60060289998234
"ABCG1",0.840391707604315,1,0.588688209075818,1,1,1.00612839236609,1,1,1
"ABCG2",1,1,1,1,1,1,1,1,1
"ABCG5",1,1,1,1,1,1,1,1,1
"ABCG8",1,1,1,1,1,1,1,1,1
"ABHD12",0.620337974794085,1,0.835769376779909,1.69319081647405,1,1,1,1,1
"ABHD16A",0.477303661913509,0.959495484127269,0.438855060164447,1,1,0.993416955303093,1,1,1
"ABHD2",0.792159968869752,1,0.837299197280505,0.481476044458614,1,0.932184162638824,1,1,1
"ABHD5",0.838956272005578,1,1,1.10190668681388,1,1,1,1,1
"ABLIM1",0.725424038732237,1,0.811590765800273,1.77443749228432,1,1.05618122849136,1,1,1
"ABLIM3",0.562948136085741,1,1,0.60184925466745,1,1,1,1,1
"ABRAXAS2",0.586710845014435,1,0.849489221080731,1.4313404490027,1,1.01261932913888,1,1,1
"ABTB1",0.399423818722764,1,0.817787739391313,1.28092488813813,1,0.959434518613623,1,1,1
"ABTB2",0.457067546349479,0.0850966087917864,0.797604163678206,0.459060496889147,1,1,1,1,1
"ACACB",0.208744544781879,1,0.285850902972073,0.38881879088086,1,1.12076291602966,1.90381455372914,1,1
"ACAD9",0.641900560439133,1,1,0.852183759474497,1,1,1,1,1
"ACADM",1,1,1,0.997642084042051,1,1,1,1,1
"ACADS",0.780518840424575,1,0.833772251678478,0.873884796259717,1,1,1,1,1
"ACADSB",1,1,1,1,1,1,1,1,1
"ACADVL",0.928382408919044,1,1,1.02727634053964,1,1,1,1,1
"ACAN",0.30350837112331,1,0.404988741130368,0.461929215432461,1,1,1,1,1
"ACAP3",0.389237400672682,1,0.575793655448695,1.37452466382993,1,1.0111617313622,1,1,1
"ACAT1",0.957968908168063,1,1,1.13264940400809,1,1,1,1,1
"ACBD5",0.767485879971557,0.376161142557652,0.832407105849765,0.696457628753587,0.718976087646608,1,1,1,1
"ACD",1,0.825631007418532,0.779843501560851,1,1,1,1,1,1
"ACE",0.878795017816455,1,1,1.00050809226433,1,1,1,1,1
"ACER3",0.950817056157062,1.09245346162964,0.85932959948917,0.64767233163414,0.848008276129862,1.03591338701586,1,1,1
"ACKR1",1,1,1,1,1,1,1,1,1
"ACKR3",1,1,0.649843925246906,1,1,0.993589953711132,1,1,1
"ACMSD",0.995589450362446,1,1,0.973142295469225,1,1,1,1,1
"ACO2",0.437242150327841,1,0.290712502739977,1.29322320489378,1,1.18076656841888,1,1,2.60060289998234
"ACOT1",1,1,1,1,1,1,1,1,1
"ACOT7",0.710072746610816,0.629905866288706,0.600279773948567,1.5833792450868,1,1.10972599229663,1,1,1
"ACOX1",0.517108958723979,0.706091754156781,0.500328968363928,0.647450293916411,1.53510744191261,0.923555448735845,1,1,1
"ACOX2",0.711726690470996,1,1,0.728900243917061,1,1,1.08094728900232,1,1
"ACOX3",0.841921433384455,1,1,1,1,1,1,1,1
"ACOXL",0.953226824430543,1,1,1.08844831878029,1,1,1,1,1
"ACP1",1,1,1,1,1,1,1,1,1
"ACP5",0.775855772206656,1,0.826499455221754,1,1,0.95598302581069,1,1,1
"ACSF3",1,1,1,1,1,1,1,1,1
"ACSL5",0.623170502458513,1,1,1,1,1,1,1,1
"ACSS1",0.65289884038678,1,0.331707109974601,1.25973360295773,1,0.945299909456259,1,1,1
"ACSS3",0.83939562935655,1,1,0.989303111762597,1,1,1,1,1
"ACTA1",1,1,1,1,1,1,1,1,1
"ACTA2",1,0.793213931493621,0.907781835600294,1,0.843417050014048,0.963994287294414,1,1,1
"ACTB",1,0.626025239341674,1,1,1.31690476696769,0.995386410301854,1,240.921340675872,1
"ACTC1",1,0.419954269494818,0.806291104377951,1,1,1,1,1,1
"ACTG1",1,1,1,0.889167736420866,1,1,1,1,1
"ACTL6B",0.448504273298302,0.325341169005908,1.04134343330547,1,2.01708697714286,1.02662338252045,1,1,1
"ACTN1",1,0.149886854886079,0.672456542416526,0.505177257819188,1.30981323045624,0.993873336754422,1,1,1
"ACTN2",0.506553318783188,0.204730171586002,0.668357763294997,1.51002697123821,1.75616628188527,0.977094140064275,1,1,1
