Gene Symbol,Sensory Type,Gene_hgnc
A2ML1,"olfactory, auditory",A2ML1
ABCA4,"olfactory, vision, auditory",ABCA4
ABCB4,"olfactory, vision, auditory",ABCB4
ABCC11,olfactory,ABCC11
ABCC2,"olfactory, auditory",ABCC2
ACAP3,olfactory,ACAP3
ACE2,olfactory,ACE2
ACKR1,olfactory,ACKR1
ACMSD,olfactory,ACMSD
ACP1,olfactory,ACP1
ADA,"olfactory, vision, auditory",ADA
ADAM28,olfactory,ADAM28
ADAR,"olfactory, vision, auditory",ADAR
ADCY3,olfactory,ADCY3
ADCY4,olfactory,ADCY4
ADH1C,"olfactory, vision",ADH1C
ADORA2A,"olfactory, vision",ADORA2A
ADRA1D,olfactory,ADRA1D
AFP,olfactory,AFP
AHCYL2,"olfactory, vision",AHCYL2
AHDC1,"olfactory, vision, auditory",AHDC1
AHI1,"olfactory, vision, auditory",AHI1
AIMP2,olfactory,AIMP2
AIPL1,"olfactory, vision, auditory, touch",AIPL1
AKR1D1,"olfactory, auditory",AKR1D1
AKT1,"olfactory, vision, auditory, touch",AKT1
ALB,olfactory,ALB
ALG11,"olfactory, vision, auditory, touch",ALG11
ALX3,"olfactory, vision, auditory",ALX3
ALX4,"olfactory, vision",ALX4
AMBRA1,olfactory,AMBRA1
AMH,"olfactory, vision",AMH
AMHR2,"olfactory, vision",AMHR2
AMIGO2,olfactory,AMIGO2
AMN1,"olfactory, vision",AMN1
ANK1,"olfactory, vision, auditory",ANK1
ANKH,"olfactory, vision, auditory",ANKH
ANKRD24,"olfactory, auditory",ANKRD24
ANKRD50,"olfactory, vision",ANKRD50
ANO2,"olfactory, vision",ANO2
ANO9,olfactory,ANO9
ANOS1,"olfactory, vision, auditory",ANOS1
ANPEP,olfactory,ANPEP
AP1S1,"olfactory, auditory",AP1S1
AP2A2,olfactory,AP2A2
APOB,"olfactory, vision",APOB
APOBEC1,olfactory,APOBEC1
APOE,"olfactory, vision",APOE
APOL1,olfactory,APOL1
APP,"olfactory, vision, auditory, touch",APP
APPL2,olfactory,APPL2
AR,"olfactory, vision",AR
ARAF,"olfactory, auditory",ARAF
ARB2A,olfactory,
ARHGAP39,olfactory,ARHGAP39
ARHGEF1,olfactory,ARHGEF1
ARHGEF17,olfactory,ARHGEF17
ARID1B,"olfactory, vision, auditory",ARID1B
ARIH1,olfactory,ARIH1
ARL13B,"olfactory, vision",ARL13B
ARL16,"olfactory, auditory",ARL16
ARL17A,olfactory,ARL17A
ARL17B,olfactory,ARL17B
ARL3,"olfactory, vision, auditory",ARL3
ARL6,"olfactory, vision, auditory",ARL6
ARNT2,"olfactory, vision, auditory",ARNT2
ARSA,"olfactory, vision, auditory, touch",ARSA
ARSL,"olfactory, auditory",ARSL
ARVCF,"olfactory, vision, auditory",ARVCF
ARX,"olfactory, vision, auditory",ARX
ASCL1,"olfactory, vision, auditory",ASCL1
ASCL3,olfactory,ASCL3
ASTN1,olfactory,ASTN1
ATF5,"olfactory, auditory",ATF5
ATG5,"olfactory, vision",ATG5
ATG7,"olfactory, vision, auditory",ATG7
ATL3,"olfactory, vision, auditory, touch",ATL3
ATM,"olfactory, vision, auditory, touch",ATM
ATOX1,olfactory,ATOX1
ATP13A1,olfactory,ATP13A1
ATP13A2,"olfactory, vision, auditory, touch",ATP13A2
ATP4A,"olfactory, touch",ATP4A
ATP6V0A4,"olfactory, vision, auditory",ATP6V0A4
ATP6V1B1,"olfactory, vision, auditory",ATP6V1B1
ATP6V1B2,"olfactory, vision, auditory",ATP6V1B2
ATP7A,"olfactory, vision, auditory, touch",ATP7A
ATP7B,"olfactory, vision, touch",ATP7B
ATXN2,"olfactory, vision, touch",ATXN2
ATXN3,"olfactory, vision, touch",ATXN3
ATXN8,"olfactory, vision, touch",ATXN8
AVP,"olfactory, vision",AVP
AXIN1,olfactory,AXIN1
AXL,"olfactory, vision",AXL
B3GALT6,"olfactory, vision, auditory",B3GALT6
B4GALT7,"olfactory, vision, auditory",B4GALT7
B9D1,"olfactory, vision",B9D1
BAG5,"olfactory, auditory",BAG5
BANF1,olfactory,BANF1
BAP1,"olfactory, vision, auditory",BAP1
BARX1,olfactory,BARX1
BAZ1A,"olfactory, auditory",BAZ1A
BBIP1,"olfactory, vision, auditory",BBIP1
BBS1,"olfactory, vision, auditory",BBS1
BBS10,"olfactory, vision, auditory",BBS10
BBS12,"olfactory, vision, auditory, touch",BBS12
BBS2,"olfactory, vision, auditory",BBS2
BBS4,"olfactory, vision, auditory",BBS4
BBS5,"olfactory, vision, auditory",BBS5
BBS7,"olfactory, vision, auditory",BBS7
BBS9,"olfactory, vision, auditory",BBS9
BCAS4,olfactory,BCAS4
BCL11A,"olfactory, vision",BCL11A
BCL2L13,olfactory,BCL2L13
BECN1,olfactory,BECN1
BGLAP,olfactory,BGLAP
BLTP3A,olfactory,BLTP3A
BMP1,"olfactory, vision, auditory",BMP1
BMP2,"olfactory, auditory",BMP2
BMP4,"olfactory, vision, auditory",BMP4
BMP6,olfactory,BMP6
BMP7,olfactory,BMP7
BMPR1A,"olfactory, vision, touch",BMPR1A
BMPR1B,"olfactory, vision",BMPR1B
BNIP3,olfactory,BNIP3
BNIP3L,olfactory,BNIP3L
BOC,olfactory,BOC
BOD1L1,olfactory,BOD1L1
BPIFB3,olfactory,BPIFB3
BPIFB4,olfactory,BPIFB4
BPY2,olfactory,BPY2
BPY2B,olfactory,BPY2B
BPY2C,olfactory,BPY2C
BRAF,"olfactory, vision, auditory, touch",BRAF
BRCA1,"olfactory, vision, auditory",BRCA1
BTBD18,olfactory,BTBD18
BUD13,olfactory,BUD13
C19orf12,"olfactory, vision, auditory, touch",C19orf12
C2CD3,"olfactory, vision",C2CD3
C4A,"olfactory, vision, auditory, touch",C4A
C9orf72,"olfactory, vision",C9orf72
CA6,olfactory,CA6
CACNA1C,"olfactory, vision, auditory",CACNA1C
CADPS2,olfactory,CADPS2
CALB1,olfactory,CALB1
CALB2,"olfactory, auditory",CALB2
CALCOCO2,olfactory,CALCOCO2
CAMKK2,olfactory,CAMKK2
CAPZA2,olfactory,CAPZA2
CAT,"olfactory, vision, auditory",CAT
CAV1,"olfactory, vision, auditory, touch",CAV1
CBL,"olfactory, vision, auditory",CBL
CBS,"olfactory, vision, touch",CBS
CC2D2A,"olfactory, vision, auditory",CC2D2A
CCDC141,"olfactory, vision, auditory",CCDC141
CCDC28B,"olfactory, vision, auditory",CCDC28B
CCDC62,olfactory,CCDC62
CCL11,olfactory,CCL11
CCND1,"olfactory, vision, auditory, touch",CCND1
CCS,olfactory,CCS
CD274,olfactory,CD274
CD300C,olfactory,CD300C
CD99,olfactory,CD99
CDA,"olfactory, vision, auditory",CDA
CDCP2,"olfactory, vision",CDCP2
CDH17,"olfactory, vision",CDH17
CDH19,olfactory,CDH19
CDH2,"olfactory, vision, auditory",CDH2
CDH20,olfactory,CDH20
CDH7,olfactory,CDH7
CDK5RAP2,"olfactory, vision, auditory",CDK5RAP2
CDKN3,olfactory,CDKN3
CDON,"olfactory, vision, auditory",CDON
CDY1B,olfactory,CDY1B
CENPO,olfactory,CENPO
CEP164,"olfactory, vision",CEP164
CEP170B,olfactory,CEP170B
CEP19,"olfactory, vision, auditory",CEP19
CEP290,"olfactory, vision, auditory, touch",CEP290
CEP41,"olfactory, vision, auditory",CEP41
CERT1,"olfactory, vision, auditory",CERT1
CFAP418,"olfactory, vision, auditory",CFAP418
CFAP69,olfactory,CFAP69
CFH,"olfactory, vision",CFH
CFTR,"olfactory, vision, auditory",CFTR
