Gene Symbol,Description,Ensembl ID,Entrez ID,Vision,Auditory,Olfactory,Touch,Gene_hgnc
A2ML1,Alpha-2-Macroglobulin Like 1,ENSG00000166535,144568,no,yes,yes,no,A2ML1
ABCA4,ATP Binding Cassette Subfamily A Member 4,ENSG00000198691,24,yes,yes,yes,no,ABCA4
ABCB4,ATP Binding Cassette Subfamily B Member 4,ENSG00000005471,5244,yes,yes,yes,no,ABCB4
ABCC11,ATP Binding Cassette Subfamily C Member 11,ENSG00000121270,85320,no,no,yes,no,ABCC11
ABCC2,ATP Binding Cassette Subfamily C Member 2,ENSG00000023839,1244,no,yes,yes,no,ABCC2
ACAP3,"ArfGAP With Coiled-Coil, Ankyrin Repeat And PH Domains 3",ENSG00000131584,116983,no,no,yes,no,ACAP3
ACKR1,Atypical Chemokine Receptor 1 (Duffy Blood Group),ENSG00000213088,2532,no,no,yes,no,ACKR1
ACMSD,Aminocarboxymuconate Semialdehyde Decarboxylase,ENSG00000153086,130013,no,no,yes,no,ACMSD
ACP1,Acid Phosphatase 1,ENSG00000143727,52,no,no,yes,no,ACP1
ADA,Adenosine Deaminase,ENSG00000196839,100,yes,yes,yes,no,ADA
ADAM28,ADAM Metallopeptidase Domain 28,ENSG00000042980,10863,no,no,yes,no,ADAM28
ADAR,Adenosine Deaminase RNA Specific,ENSG00000160710,103,yes,yes,yes,no,ADAR
ADCY3,Adenylate Cyclase 3,ENSG00000138031,109,no,no,yes,no,ADCY3
ADCY4,Adenylate Cyclase 4,ENSG00000129467,196883,no,no,yes,no,ADCY4
ADORA2A,Adenosine A2a Receptor,ENSG00000128271,135,yes,no,yes,no,ADORA2A
ADRA1D,Adrenoceptor Alpha 1D,ENSG00000171873,146,no,no,yes,no,ADRA1D
AFP,Alpha Fetoprotein,ENSG00000081051,174,no,no,yes,no,AFP
AHCYL2,Adenosylhomocysteinase Like 2,ENSG00000158467,23382,yes,no,yes,no,AHCYL2
AHDC1,AT-Hook DNA Binding Motif Containing 1,ENSG00000126705,27245,yes,yes,yes,no,AHDC1
AHI1,Abelson Helper Integration Site 1,ENSG00000135541,54806,yes,yes,yes,no,AHI1
AIMP2,Aminoacyl TRNA Synthetase Complex Interacting Multifunctional Protein 2,ENSG00000106305,7965,no,no,yes,no,AIMP2
AIPL1,AIP Like 1 HSP90 Co-Chaperone,ENSG00000129221,23746,yes,yes,yes,yes,AIPL1
AKR1D1,Aldo-Keto Reductase Family 1 Member D1,ENSG00000122787,6718,no,yes,yes,no,AKR1D1
AKT1,AKT Serine/Threonine Kinase 1,ENSG00000142208,207,yes,yes,yes,yes,AKT1
ALB,Albumin,ENSG00000163631,213,no,no,yes,no,ALB
ALG11,"ALG11 Alpha-1,2-Mannosyltransferase",ENSG00000253710,440138,yes,yes,yes,yes,ALG11
ALX3,ALX Homeobox 3,ENSG00000156150,257,yes,yes,yes,no,ALX3
ALX4,ALX Homeobox 4,ENSG00000052850,60529,yes,no,yes,no,ALX4
AMBRA1,Autophagy And Beclin 1 Regulator 1,ENSG00000110497,55626,no,no,yes,no,AMBRA1
AMH,Anti-Mullerian Hormone,ENSG00000104899,268,yes,no,yes,no,AMH
AMHR2,Anti-Mullerian Hormone Receptor Type 2,ENSG00000135409,269,yes,no,yes,no,AMHR2
AMIGO2,Adhesion Molecule With Ig Like Domain 2,ENSG00000139211,347902,no,no,yes,no,AMIGO2
AMN1,Antagonist Of Mitotic Exit Network 1 Homolog,ENSG00000151743,196394,yes,no,yes,no,AMN1
ANK1,Ankyrin 1,ENSG00000029534,286,yes,yes,yes,no,ANK1
ANKH,ANKH Inorganic Pyrophosphate Transport Regulator,ENSG00000154122,56172,yes,yes,yes,no,ANKH
ANKRD24,Ankyrin Repeat Domain 24,ENSG00000089847,170961,no,yes,yes,no,ANKRD24
ANKRD50,Ankyrin Repeat Domain Containing 50,ENSG00000151458,57182,yes,no,yes,no,ANKRD50
ANO2,Anoctamin 2,ENSG00000047617,57101,yes,no,yes,no,ANO2
ANO9,Anoctamin 9,ENSG00000185101,338440,no,no,yes,no,ANO9
ANPEP,"Alanyl Aminopeptidase, Membrane",ENSG00000166825,290,no,no,yes,no,ANPEP
AP1S1,Adaptor Related Protein Complex 1 Subunit Sigma 1,ENSG00000106367,1174,no,yes,yes,no,AP1S1
AP2A2,Adaptor Related Protein Complex 2 Subunit Alpha 2,ENSG00000183020,161,no,no,yes,no,AP2A2
APOB,Apolipoprotein B,ENSG00000084674,338,yes,no,yes,no,APOB
