ensembl_gene_id,gene.x,gene_gencodeV33,chromosome,pLI,LOEUF,prior.dn.ptv,prior.dn.misb,prior.dn.misa,prior.in.ptv,prior.in.misb,prior.in.misa,prior.cc.ptv,prior.cc.misb,prior.cc.misa,gene.y,ensembl_transcript_id,mu_syn,mu_mis,mu_lof,hgnc_symbol
ENSG00000000419,DPM1,DPM1,20,0.00016237,0.873,1.401133194,14.14714762,1.682544956,1.103791028,1.585667216,1.05,1.337415328,3.077927599,1.05,DPM1,ENST00000371588,2.91E-06,8.19E-06,9.82E-07,DPM1
ENSG00000000457,SCYL3,SCYL3,1,0.28151,0.421,4.870007967,14.14714762,1.682544956,1.429396217,1.585667216,1.05,2.376241515,3.077927599,1.05,SCYL3,ENST00000367772,7.82E-06,1.86E-05,1.65E-06,SCYL3
ENSG00000000460,C1orf112,C1orf112,1,3.35E-10,0.73,1.911816044,14.14714762,1.682544956,1.198867785,1.585667216,1.05,1.619298985,3.077927599,1.05,C1orf112,ENST00000286031,8.03E-06,2.03E-05,2.05E-06,C1orf112
ENSG00000000938,FGR,FGR,1,0.48408,0.425,4.802055726,14.14714762,1.682544956,1.426825944,1.585667216,1.05,2.366312764,3.077927599,1.05,FGR,ENST00000374005,9.25E-06,1.90E-05,1.39E-06,FGR
ENSG00000000971,CFH,CFH,1,0.86061,0.324,6.866850794,14.14714762,1.682544956,1.484241575,1.585667216,1.05,2.610449022,3.077927599,1.05,CFH,ENST00000367429,1.22E-05,3.24E-05,3.19E-06,CFH
ENSG00000001036,FUCA2,FUCA2,6,4.39E-07,0.902,1.329360578,14.14714762,1.682544956,1.087231747,1.585667216,1.05,1.289054363,3.077927599,1.05,FUCA2,ENST00000002165,6.35E-06,1.37E-05,1.18E-06,FUCA2
ENSG00000001084,GCLC,GCLC,6,0.42718,0.401,5.226276181,14.14714762,1.682544956,1.441885604,1.585667216,1.05,2.425575229,3.077927599,1.05,GCLC,ENST00000229416,7.20E-06,1.77E-05,1.85E-06,GCLC
ENSG00000001167,NFYA,NFYA,6,0.14619,0.509,3.612233243,14.14714762,1.682544956,1.367730859,1.585667216,1.05,2.153844807,3.077927599,1.05,NFYA,ENST00000341376,3.46E-06,9.40E-06,1.24E-06,NFYA
ENSG00000001460,STPG1,STPG1,1,1.20E-09,1.339,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,STPG1,ENST00000374409,4.89E-06,1.04E-05,9.54E-07,STPG1
ENSG00000001461,NIPAL3,NIPAL3,1,6.96E-05,0.844,1.481902627,14.14714762,1.682544956,1.121385688,1.585667216,1.05,1.388992905,3.077927599,1.05,NIPAL3,ENST00000374399,7.33E-06,1.40E-05,1.05E-06,NIPAL3
ENSG00000001561,ENPP4,ENPP4,6,0.11941,0.66,2.294877695,14.14714762,1.682544956,1.251260025,1.585667216,1.05,1.778975158,3.077927599,1.05,ENPP4,ENST00000321037,4.57E-06,1.10E-05,7.23E-07,ENPP4
ENSG00000001617,SEMA3F,SEMA3F,3,0.99989,0.219,9.861990511,14.14714762,1.682544956,1.526640655,1.585667216,1.05,2.846137369,3.077927599,1.05,SEMA3F,ENST00000002829,1.56E-05,3.53E-05,2.63E-06,SEMA3F
ENSG00000001626,CFTR,CFTR,7,2.17E-58,1.307,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,CFTR,ENST00000003084,1.47E-05,3.73E-05,3.83E-06,CFTR
ENSG00000001629,ANKIB1,ANKIB1,7,0.99996,0.207,10.26406884,14.14714762,1.682544956,1.530310052,1.585667216,1.05,2.871307527,3.077927599,1.05,ANKIB1,ENST00000265742,1.04E-05,2.94E-05,2.89E-06,ANKIB1
ENSG00000001630,CYP51A1,CYP51A1,7,1.46E-07,1.011,1.129642556,14.14714762,1.682544956,1.035771856,1.585667216,1.05,1.139415457,3.077927599,1.05,CYP51A1,ENST00000003100,5.39E-06,1.45E-05,1.05E-06,CYP51A1
ENSG00000001631,KRIT1,KRIT1,7,0.00069333,0.499,3.732323834,14.14714762,1.682544956,1.375184895,1.585667216,1.05,2.179364828,3.077927599,1.05,KRIT1,ENST00000394507,6.18E-06,1.89E-05,2.17E-06,KRIT1
ENSG00000002016,RAD52,RAD52,12,7.11E-11,1.109,1.019061413,14.14714762,1.682544956,1.004231674,1.585667216,1.05,1.0477842,3.077927599,1.05,RAD52,ENST00000358495,6.05E-06,1.34E-05,1.32E-06,RAD52
ENSG00000002330,BAD,BAD,11,0.0046237,1.533,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,BAD,ENST00000394532,3.59E-06,7.87E-06,3.94E-07,BAD
ENSG00000002549,LAP3,LAP3,4,1.47E-07,0.897,1.341144015,14.14714762,1.682544956,1.090008991,1.585667216,1.05,1.297154375,3.077927599,1.05,LAP3,ENST00000226299,7.63E-06,1.65E-05,1.28E-06,LAP3
ENSG00000002587,HS3ST1,HS3ST1,4,0.0044305,1.113,1.015453694,14.14714762,1.682544956,1.003202642,1.585667216,1.05,1.044794709,3.077927599,1.05,HS3ST1,ENST00000002596,7.67E-06,1.41E-05,5.03E-07,HS3ST1
ENSG00000002726,AOC1,AOC1,7,6.72E-08,0.969,1.191782249,14.14714762,1.682544956,1.053440756,1.585667216,1.05,1.190748765,3.077927599,1.05,AOC1,ENST00000493429,1.29E-05,2.76E-05,1.16E-06,AOC1
ENSG00000002745,WNT16,WNT16,7,1.65E-06,1.172,1,14.14714762,1.682544956,1,1.585667216,1.05,1.006747015,3.077927599,1.05,WNT16,ENST00000222462,6.05E-06,1.23E-05,7.83E-07,WNT16
ENSG00000002746,HECW1,HECW1,7,0.99982,0.253,8.790166891,14.14714762,1.682544956,1.514922685,1.585667216,1.05,2.772485055,3.077927599,1.05,HECW1,ENST00000395891,2.87E-05,5.89E-05,4.57E-06,HECW1
ENSG00000002822,MAD1L1,MAD1L1,7,6.84E-16,0.969,1.191782249,14.14714762,1.682544956,1.053440756,1.585667216,1.05,1.190748765,3.077927599,1.05,MAD1L1,ENST00000406869,1.32E-05,2.89E-05,1.96E-06,MAD1L1
ENSG00000002834,LASP1,LASP1,17,0.9827,0.283,7.926685312,14.14714762,1.682544956,1.502969362,1.585667216,1.05,2.705186262,3.077927599,1.05,LASP1,ENST00000318008,6.15E-06,1.19E-05,9.30E-07,LASP1
ENSG00000002919,SNX11,SNX11,17,7.30E-07,1.109,1.019061413,14.14714762,1.682544956,1.004231674,1.585667216,1.05,1.0477842,3.077927599,1.05,SNX11,ENST00000393405,2.79E-06,7.50E-06,1.04E-06,SNX11
ENSG00000002933,TMEM176A,TMEM176A,7,0.0093723,0.933,1.26129399,14.14714762,1.682544956,1.070778738,1.585667216,1.05,1.241142613,3.077927599,1.05,TMEM176A,ENST00000484928,3.35E-06,7.40E-06,6.02E-07,TMEM176A
ENSG00000003056,M6PR,M6PR,12,0.0092215,0.763,1.765995406,14.14714762,1.682544956,1.175256942,1.585667216,1.05,1.548485543,3.077927599,1.05,M6PR,ENST00000000412,2.88E-06,7.77E-06,8.84E-07,M6PR
ENSG00000003137,CYP26B1,CYP26B1,2,0.97987,0.29,7.736065558,14.14714762,1.682544956,1.499965569,1.585667216,1.05,2.689221557,3.077927599,1.05,CYP26B1,ENST00000001146,1.14E-05,2.32E-05,6.95E-07,CYP26B1
ENSG00000003147,ICA1,ICA1,7,0.00099069,0.577,2.916949062,14.14714762,1.682544956,1.315583617,1.585667216,1.05,1.981499252,3.077927599,1.05,ICA1,ENST00000402384,5.98E-06,1.31E-05,1.55E-06,ICA1
ENSG00000003249,DBNDD1,DBNDD1,16,6.35E-05,1.531,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,DBNDD1,ENST00000304733,3.92E-06,6.74E-06,5.37E-07,DBNDD1
ENSG00000003393,ALS2,ALS2,2,8.72E-12,0.516,3.53115609,14.14714762,1.682544956,1.362468032,1.585667216,1.05,2.135985278,3.077927599,1.05,ALS2,ENST00000264276,1.81E-05,4.32E-05,4.74E-06,ALS2
ENSG00000003400,CASP10,CASP10,2,4.64E-12,1.287,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,CASP10,ENST00000286186,5.89E-06,1.32E-05,1.15E-06,CASP10
ENSG00000003402,CFLAR,CFLAR,2,0.99967,0.173,11.46778761,14.14714762,1.682544956,1.539420234,1.585667216,1.05,2.939521398,3.077927599,1.05,CFLAR,ENST00000309955,4.82E-06,1.20E-05,1.71E-06,CFLAR
ENSG00000003436,TFPI,TFPI,2,0.2477,0.564,3.035088663,14.14714762,1.682544956,1.325676961,1.585667216,1.05,2.014155352,3.077927599,1.05,TFPI,ENST00000233156,2.93E-06,7.91E-06,9.59E-07,TFPI
ENSG00000003509,NDUFAF7,NDUFAF7,2,1.08E-19,1.582,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,NDUFAF7,ENST00000002125,5.28E-06,1.25E-05,1.22E-06,NDUFAF7
ENSG00000003756,RBM5,RBM5,3,1,0.135,12.90431034,14.14714762,1.682544956,1.547633199,1.585667216,1.05,3.00785689,3.077927599,1.05,RBM5,ENST00000347869,1.04E-05,2.53E-05,3.09E-06,RBM5
ENSG00000003987,MTMR7,MTMR7,8,2.21E-14,0.982,1.17139179,14.14714762,1.682544956,1.047679353,1.585667216,1.05,1.174010143,3.077927599,1.05,MTMR7,ENST00000180173,7.93E-06,2.01E-05,1.94E-06,MTMR7
ENSG00000003989,SLC7A2,SLC7A2,8,2.34E-11,1.014,1.125575974,14.14714762,1.682544956,1.034612,1.585667216,1.05,1.13604576,3.077927599,1.05,SLC7A2,ENST00000004531,1.03E-05,2.10E-05,1.36E-06,SLC7A2
ENSG00000004059,ARF5,ARF5,7,0.94298,0.33,6.722994117,14.14714762,1.682544956,1.481273973,1.585667216,1.05,2.596351356,3.077927599,1.05,ARF5,ENST00000000233,3.08E-06,7.00E-06,4.55E-07,ARF5
ENSG00000004139,SARM1,SARM1,17,1.70E-10,1.143,1,14.14714762,1.682544956,1,1.585667216,1.05,1.024069841,3.077927599,1.05,SARM1,ENST00000457710,1.72E-05,3.53E-05,1.40E-06,SARM1
ENSG00000004142,POLDIP2,POLDIP2,17,0.41407,0.464,4.195718204,14.14714762,1.682544956,1.400511765,1.585667216,1.05,2.268440225,3.077927599,1.05,POLDIP2,ENST00000540200,5.47E-06,1.37E-05,1.37E-06,POLDIP2
ENSG00000004399,PLXND1,PLXND1,3,1,0.157,12.06364623,14.14714762,1.682544956,1.543095463,1.585667216,1.05,2.969565002,3.077927599,1.05,PLXND1,ENST00000324093,4.68E-05,8.85E-05,4.35E-06,PLXND1
ENSG00000004455,AK2,AK2,1,6.27E-05,1.223,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,AK2,ENST00000354858,3.45E-06,7.81E-06,6.68E-07,AK2
ENSG00000004468,CD38,CD38,4,2.31E-06,1.126,1.004177901,14.14714762,1.682544956,1,1.585667216,1.05,1.035451158,3.077927599,1.05,CD38,ENST00000226279,4.19E-06,9.63E-06,7.73E-07,CD38
ENSG00000004478,FKBP4,FKBP4,12,0.15539,0.504,3.671638994,14.14714762,1.682544956,1.3714679,1.585667216,1.05,2.16660491,3.077927599,1.05,FKBP4,ENST00000001008,6.10E-06,1.43E-05,1.21E-06,FKBP4
ENSG00000004487,KDM1A,KDM1A,1,0.99667,0.276,8.121376291,14.14714762,1.682544956,1.505892388,1.585667216,1.05,2.721056804,3.077927599,1.05,KDM1A,ENST00000400181,1.27E-05,2.85E-05,2.59E-06,KDM1A
ENSG00000004534,RBM6,RBM6,3,1,0.136,12.86570716,14.14714762,1.682544956,1.547438086,1.585667216,1.05,3.006206159,3.077927599,1.05,RBM6,ENST00000266022,1.16E-05,3.20E-05,3.87E-06,RBM6
ENSG00000004660,CAMKK1,CAMKK1,17,0.00033981,0.634,2.467512302,14.14714762,1.682544956,1.27127817,1.585667216,1.05,1.841107161,3.077927599,1.05,CAMKK1,ENST00000158166,9.06E-06,1.83E-05,1.37E-06,CAMKK1
ENSG00000004700,RECQL,RECQL,12,1.53E-20,1.308,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,RECQL,ENST00000444129,6.74E-06,1.68E-05,1.52E-06,RECQL
ENSG00000004766,CCDC132,VPS50,7,0.8139,0.333,6.652115591,14.14714762,1.682544956,1.479768732,1.585667216,1.05,2.58928168,3.077927599,1.05,CCDC132,ENST00000305866,8.64E-06,2.39E-05,3.05E-06,VPS50
ENSG00000004776,HSPB6,HSPB6,19,0.088703,1.347,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,HSPB6,ENST00000592984,6.41E-06,1.03E-05,2.48E-07,HSPB6
ENSG00000004777,ARHGAP33,ARHGAP33,19,0.028562,0.406,5.134609086,14.14714762,1.682544956,1.438819957,1.585667216,1.05,2.4132905,3.077927599,1.05,ARHGAP33,ENST00000314737,1.96E-05,4.36E-05,2.94E-06,ARHGAP33
ENSG00000004779,NDUFAB1,NDUFAB1,16,0.52661,0.749,1.825451419,14.14714762,1.682544956,1.185172126,1.585667216,1.05,1.578147009,3.077927599,1.05,NDUFAB1,ENST00000570319,3.08E-06,6.43E-06,2.88E-07,NDUFAB1
ENSG00000004799,PDK4,PDK4,7,9.14E-12,1.241,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,PDK4,ENST00000005178,4.80E-06,1.21E-05,1.18E-06,PDK4
ENSG00000004809,SLC22A16,SLC22A16,6,6.31E-27,1.846,1,14.14714762,1.682544956,1,1.585667216,1.05,1,3.077927599,1.05,SLC22A16,ENST00000368919,7.30E-06,1.63E-05,1.20E-06,SLC22A16
