gene,gene name,ensembl ID,entrez ID,chromosome,genetic category,gene score,ASD risk group,number of reports,hgnc_symbol
ABAT,4-aminobutyrate aminotransferase,ENSG00000183044,18,16,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,ABAT
ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",ENSG00000154263,10349,17,Rare Single Gene Mutation,2,ASD core,3,ABCA10
ABCA13,ATP binding cassette subfamily A member 13,ENSG00000179869,154664,7,"Rare Single Gene Mutation, Functional",2,ASD core,11,ABCA13
ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",ENSG00000064687,10347,19,Rare Single Gene Mutation,2,ASD core,6,ABCA7
ABCE1,ATP binding cassette subfamily E member 1,ENSG00000164163,6059,4,Rare Single Gene Mutation,1,ASD core,3,ABCE1
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ENSG00000143322,27,1,"Rare Single Gene Mutation, Functional",3,ASD associated,10,ABL2
ACE,angiotensin I converting enzyme,ENSG00000159640,1636,17,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,ACE
ACHE,Acetylcholinesterase (Yt blood group),ENSG00000087085,43,7,Rare Single Gene Mutation,2,ASD core,7,ACHE
ACTB,actin beta,ENSG00000075624,60,7,"Rare Single Gene Mutation, Syndromic",1,ASD core,9,ACTB
ACTL6B,actin like 6B,ENSG00000077080,51412,7,"Rare Single Gene Mutation, Syndromic, Functional",S,ASD associated,14,ACTL6B
ACTN4,actinin alpha 4,ENSG00000130402,81,19,Rare Single Gene Mutation,2,ASD core,6,ACTN4
ACY1,aminoacylase 1,ENSG00000243989,95,3,"Rare Single Gene Mutation, Syndromic",S,ASD associated,11,ACY1
ADCY3,adenylate cyclase 3,ENSG00000138031,109,2,Rare Single Gene Mutation,2,ASD core,4,ADCY3
ADCY5,Adenylate cyclase 5,ENSG00000173175,111,3,Rare Single Gene Mutation,2,ASD core,10,ADCY5
ADGRL1,adhesion G protein-coupled receptor L1,ENSG00000072071,22859,19,"Rare Single Gene Mutation, Syndromic",3,ASD associated,5,ADGRL1
ADK,adenosine kinase,ENSG00000156110,132,10,Rare Single Gene Mutation,2,ASD core,2,ADK
ADNP,Activity-dependent neuroprotector homeobox,ENSG00000101126,23394,20,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,77,ADNP
ADORA3,Adenosine A3 receptor,ENSG00000282608,140,1,"Rare Single Gene Mutation, Functional",2,ASD core,4,ADORA3
ADSL,adenylosuccinate lyase,ENSG00000239900,158,22,"Rare Single Gene Mutation, Syndromic",1,ASD core,9,ADSL
ADSS2,adenylosuccinate synthase 2,ENSG00000035687,159,1,Rare Single Gene Mutation,2,ASD core,3,ADSS2
AFF2,"AF4/FMR2 family, member 2",ENSG00000155966,2334,X,"Rare Single Gene Mutation, Syndromic",1,ASD core,21,AFF2
AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",ENSG00000157985,116987,2,Rare Single Gene Mutation,2,ASD core,10,AGAP1
